 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
car,smooth,morning_rush,foggy,mumbai_suburban,15.29,0.807,20.30,879.6,210.7,176.4,235.2,0.264,0.61,19.20,28.46,NO
bicycle,construction,dawn,clear,delhi_inner,17.01,0.822,19.30,393.3,418.8,80.7,92.3,0.384,4.80,78.00,31.92,NO
bus,damaged_edge,morning_rush,rainy,hyderabad_highway,25.11,0.757,16.90,364.1,246.2,261.0,303.7,0.344,6.14,35.60,42.08,YES
cow,pothole_light,dawn,clear,delhi_inner,12.94,0.661,0.00,379.0,398.9,152.0,137.0,0.425,2.27,73.50,37.86,NO
motorcycle,pothole_heavy,dawn,rainy,mumbai_suburban,1.38,0.775,35.20,600.7,259.2,75.6,99.4,0.076,7.53,37.40,60.19,YES
car,pothole_heavy,night,dusty,rural_highway,22.76,0.900,39.00,766.3,313.0,189.2,257.1,0.512,7.51,33.60,50.22,YES
pedestrian,pothole_heavy,evening_rush,clear,mumbai_suburban,12.36,0.876,1.80,936.6,460.5,66.6,84.3,0.268,7.33,73.40,49.05,YES
autorickshaw,pothole_light,evening_rush,dusty,rural_highway,11.80,0.777,17.80,456.0,222.2,118.4,161.6,0.153,3.92,32.30,42.54,YES
car,flooded,night,rainy,rural_highway,9.44,0.707,33.10,734.5,339.9,172.3,169.1,0.117,6.93,25.60,53.76,YES
autorickshaw,smooth,afternoon,clear,mumbai_suburban,13.66,0.740,29.40,821.5,301.5,140.1,184.5,0.163,0.00,77.10,15.98,NO
car,smooth,evening_rush,hazy,delhi_inner,11.09,0.866,18.20,329.5,280.3,170.2,186.1,0.308,0.00,42.00,28.03,NO
bicycle,pothole_heavy,evening_rush,clear,hyderabad_highway,12.97,0.724,6.70,116.0,471.2,79.4,71.4,0.191,8.55,76.80,45.29,YES
motorcycle,flooded,evening_rush,rainy,bangalore_tech,11.10,0.792,23.70,1074.4,450.1,79.1,95.0,0.024,6.25,28.50,45.51,YES
pedestrian,damaged_edge,evening_rush,foggy,delhi_inner,4.48,0.730,0.00,851.6,510.9,22.4,27.1,0.135,4.20,19.70,56.65,YES
motorcycle,pothole_heavy,afternoon,clear,hyderabad_highway,12.65,0.856,40.40,766.8,267.6,96.9,94.2,0.173,8.05,83.80,40.13,NO
autorickshaw,damaged_edge,evening_rush,hazy,delhi_inner,13.41,0.856,11.20,70.8,330.2,78.6,64.2,0.389,4.10,43.80,36.87,NO
truck,smooth,night,foggy,rural_highway,24.00,0.777,29.30,891.3,272.3,190.2,175.0,0.344,0.00,21.60,25.86,NO
car,pothole_heavy,morning_rush,dusty,delhi_inner,14.85,0.887,18.00,618.2,375.4,187.9,195.4,0.223,8.97,35.00,59.67,YES
bus,smooth,dawn,hazy,delhi_inner,20.20,0.936,31.40,866.6,332.7,257.9,232.3,0.179,0.54,47.70,20.17,NO
pedestrian,smooth,evening_rush,dusty,delhi_inner,11.60,0.779,3.00,1208.0,359.5,40.4,37.1,0.380,0.92,35.20,40.57,NO
bicycle,pothole_heavy,night,hazy,rural_highway,9.39,0.682,15.40,1156.0,550.0,72.2,74.7,0.202,8.76,41.80,49.24,YES
bicycle,construction,evening_rush,hazy,kolkata_old,6.06,0.814,10.80,1068.4,244.7,32.0,44.1,0.211,5.94,40.40,45.22,YES
truck,flooded,night,foggy,hyderabad_highway,24.64,0.779,38.80,11.5,424.0,230.6,290.2,0.203,7.20,21.10,52.07,YES
bicycle,damaged_edge,morning_rush,hazy,bangalore_tech,18.01,0.756,11.50,1068.4,252.1,73.7,73.1,0.447,4.64,51.40,32.29,NO
car,smooth,night,hazy,mumbai_suburban,15.82,0.709,39.50,82.6,411.9,179.3,245.8,0.397,1.12,43.90,32.72,NO
car,pothole_light,morning_rush,hazy,mumbai_suburban,22.41,0.796,20.00,936.0,312.6,180.3,214.1,0.072,3.85,41.50,39.19,NO
car,damaged_edge,night,foggy,bangalore_tech,15.63,0.679,34.70,306.1,475.9,187.4,201.1,0.378,5.38,18.70,45.88,YES
motorcycle,smooth,dawn,foggy,kolkata_old,9.85,0.872,43.80,732.3,232.2,79.6,86.0,0.263,0.41,17.20,31.77,NO
motorcycle,pothole_heavy,afternoon,hazy,kolkata_old,8.89,0.801,46.30,46.8,374.5,51.9,54.3,0.085,8.98,41.70,52.97,YES
motorcycle,smooth,morning_rush,clear,mumbai_suburban,16.90,0.867,26.40,900.0,338.8,112.9,106.1,0.021,0.00,72.80,23.32,NO
cow,flooded,night,hazy,rural_highway,5.58,0.596,5.50,125.3,554.5,158.0,163.1,0.237,4.11,43.80,61.88,YES
motorcycle,smooth,afternoon,rainy,delhi_inner,11.18,0.757,52.00,500.7,645.7,60.7,67.8,0.175,0.81,31.20,32.88,NO
motorcycle,pothole_heavy,night,clear,rural_highway,7.33,0.753,39.20,985.2,282.8,74.8,83.6,0.092,8.43,74.60,49.81,YES
truck,damaged_edge,morning_rush,foggy,delhi_inner,17.73,0.638,20.70,739.5,356.2,216.5,272.1,0.449,4.07,15.60,39.00,NO
car,pothole_heavy,morning_rush,hazy,bangalore_tech,19.83,0.807,24.40,6.5,371.8,196.2,199.2,0.277,8.44,40.30,54.19,YES
cow,pothole_light,dawn,clear,mumbai_suburban,8.12,0.595,4.70,472.5,259.8,107.6,132.4,0.298,2.31,73.10,45.43,YES
car,pothole_heavy,evening_rush,clear,bangalore_tech,12.33,0.831,19.00,46.4,254.1,172.5,197.8,0.413,10.00,75.20,49.54,YES
e-rickshaw,pothole_light,night,clear,kolkata_old,12.87,0.595,22.80,805.8,600.5,83.6,115.1,0.108,5.57,79.00,42.34,YES
pedestrian,damaged_edge,afternoon,dusty,bangalore_tech,12.56,0.817,0.00,1196.0,414.1,45.7,47.1,0.143,5.75,28.30,59.04,YES
car,smooth,evening_rush,clear,bangalore_tech,17.65,0.904,19.00,725.4,236.3,172.9,231.8,0.211,0.09,79.30,12.69,NO
car,pothole_heavy,evening_rush,clear,hyderabad_highway,13.41,0.916,19.50,246.5,261.4,181.2,234.2,0.764,7.26,76.50,29.84,NO
cow,flooded,evening_rush,hazy,kolkata_old,8.29,0.593,2.40,408.2,298.0,130.9,154.8,0.306,4.43,40.40,65.26,YES
pedestrian,flooded,evening_rush,clear,hyderabad_highway,9.60,0.727,0.00,1212.3,442.1,38.7,46.2,0.384,5.86,81.90,41.11,NO
pedestrian,flooded,evening_rush,clear,mumbai_suburban,8.23,0.824,0.00,273.5,357.6,59.3,50.4,0.374,4.97,76.80,39.29,NO
pedestrian,pothole_heavy,evening_rush,clear,kolkata_old,3.97,0.762,0.00,686.9,401.2,56.8,77.9,0.320,7.04,77.60,53.30,YES
car,smooth,afternoon,hazy,kolkata_old,16.75,0.786,34.30,437.2,259.5,188.3,162.7,0.061,0.00,51.50,25.20,NO
motorcycle,construction,night,rainy,mumbai_suburban,9.88,0.703,35.40,924.0,341.1,77.3,88.0,0.142,7.30,25.40,52.47,YES
car,damaged_edge,morning_rush,hazy,bangalore_tech,10.24,0.964,26.50,961.6,224.5,171.4,171.1,0.399,4.55,52.80,34.33,NO
dog,pothole_heavy,evening_rush,hazy,mumbai_suburban,2.97,0.693,7.10,413.0,598.4,68.2,72.2,0.409,8.64,43.30,74.57,YES
pedestrian,pothole_heavy,morning_rush,dusty,delhi_inner,6.95,0.811,7.60,807.3,290.0,57.5,67.1,0.261,8.55,29.30,64.67,YES
motorcycle,smooth,evening_rush,hazy,mumbai_suburban,9.72,0.858,25.30,676.8,545.4,47.3,63.7,0.144,0.28,42.20,25.78,NO
car,construction,night,clear,delhi_inner,20.20,0.877,41.50,304.6,311.9,185.9,199.8,0.065,10.00,80.30,47.09,YES
motorcycle,smooth,morning_rush,clear,kolkata_old,9.53,0.782,20.10,325.1,390.8,84.6,117.9,0.158,0.99,86.30,19.86,NO
motorcycle,smooth,morning_rush,hazy,kolkata_old,7.17,0.887,24.10,645.9,324.2,80.9,93.5,0.378,0.00,49.00,17.26,NO
pedestrian,pothole_heavy,morning_rush,foggy,rural_highway,9.43,0.751,0.00,189.8,532.3,47.8,42.8,0.227,8.55,20.30,68.08,YES
pedestrian,damaged_edge,evening_rush,clear,hyderabad_highway,5.91,0.855,5.30,1021.6,622.3,20.0,20.0,0.400,4.94,86.30,43.09,YES
dog,flooded,night,rainy,delhi_inner,7.80,0.453,16.80,84.0,326.5,63.4,78.0,0.326,4.39,20.60,64.67,YES
autorickshaw,pothole_light,morning_rush,clear,rural_highway,14.96,0.858,11.50,107.2,296.4,146.8,121.9,0.281,2.29,81.20,15.75,NO
car,damaged_edge,night,hazy,rural_highway,18.97,0.782,22.00,376.4,420.7,180.2,196.1,0.116,5.54,46.50,40.31,NO
pedestrian,construction,afternoon,foggy,bangalore_tech,8.65,0.651,0.00,145.8,293.6,45.4,40.3,0.235,7.84,21.60,69.64,YES
pedestrian,pothole_heavy,evening_rush,clear,kolkata_old,13.45,0.887,0.00,585.0,498.6,50.3,53.3,0.242,6.74,71.90,43.44,YES
truck,smooth,dawn,rainy,rural_highway,23.71,0.694,22.00,421.5,222.5,225.3,281.6,0.268,1.16,24.90,35.25,NO
pedestrian,pothole_light,afternoon,clear,kolkata_old,6.32,0.875,0.00,880.7,482.5,59.9,64.4,0.187,4.34,79.20,40.58,NO
autorickshaw,damaged_edge,evening_rush,rainy,rural_highway,21.21,0.734,14.00,1108.8,413.2,116.6,104.7,0.331,6.44,35.60,45.51,YES
autorickshaw,smooth,morning_rush,clear,delhi_inner,12.68,0.851,19.30,869.3,245.5,126.4,120.2,0.562,1.31,89.60,13.51,NO
autorickshaw,damaged_edge,morning_rush,dusty,delhi_inner,8.81,0.848,6.40,203.6,441.4,145.1,148.1,0.181,4.81,31.70,38.97,NO
car,damaged_edge,afternoon,clear,bangalore_tech,19.78,0.906,31.80,1015.0,358.9,195.1,164.2,0.686,6.96,73.50,36.97,NO
car,pothole_light,morning_rush,dusty,kolkata_old,21.38,0.911,18.00,417.6,259.2,215.1,247.5,0.392,2.65,39.10,31.80,NO
car,construction,evening_rush,hazy,hyderabad_highway,15.46,0.905,18.80,526.3,313.7,170.1,198.1,0.154,9.87,58.10,52.10,YES
pedestrian,smooth,evening_rush,rainy,rural_highway,7.49,0.611,3.00,507.9,424.9,75.1,62.9,0.135,0.00,35.50,45.58,YES
motorcycle,pothole_heavy,evening_rush,clear,bangalore_tech,9.08,0.827,22.00,340.0,241.1,68.1,71.0,0.410,7.94,76.30,42.42,YES
autorickshaw,damaged_edge,morning_rush,dusty,delhi_inner,13.54,0.713,14.70,1033.5,572.2,125.3,131.4,0.074,4.32,49.30,42.99,YES
bicycle,damaged_edge,afternoon,clear,hyderabad_highway,14.83,0.760,9.80,398.4,492.2,81.0,81.0,0.225,4.55,83.40,29.41,NO
motorcycle,pothole_light,evening_rush,clear,kolkata_old,11.86,0.751,22.80,698.7,244.9,72.3,82.1,0.461,7.51,76.00,44.14,YES
motorcycle,flooded,dawn,hazy,delhi_inner,9.73,0.749,35.40,287.7,560.5,81.3,81.9,0.157,5.44,54.70,45.51,YES
pedestrian,construction,morning_rush,clear,bangalore_tech,12.44,0.896,0.00,969.9,346.2,63.7,66.8,0.397,8.02,75.70,50.42,YES
motorcycle,pothole_light,night,clear,hyderabad_highway,9.61,0.802,40.10,937.3,457.4,69.3,88.7,0.023,3.72,76.90,31.46,NO
car,construction,evening_rush,dusty,hyderabad_highway,17.13,0.880,11.70,318.5,293.1,205.0,184.0,0.215,8.12,38.60,44.89,YES
motorcycle,pothole_heavy,evening_rush,dusty,bangalore_tech,9.11,0.831,13.70,832.0,530.5,59.2,69.4,0.210,7.35,34.90,50.00,YES
car,pothole_heavy,evening_rush,hazy,mumbai_suburban,17.39,0.865,18.70,753.8,409.2,209.1,230.7,0.323,8.31,45.20,52.04,YES
bicycle,pothole_heavy,morning_rush,dusty,rural_highway,9.90,0.784,7.70,672.2,440.9,85.0,83.6,0.481,8.75,35.20,48.00,YES
cow,flooded,morning_rush,hazy,kolkata_old,9.11,0.609,0.00,685.5,284.0,138.7,171.4,0.101,5.13,50.60,63.11,YES
pedestrian,damaged_edge,evening_rush,clear,bangalore_tech,7.19,0.860,3.70,710.0,319.3,44.0,49.7,0.385,8.31,68.40,52.46,YES
dog,pothole_heavy,afternoon,rainy,mumbai_suburban,11.17,0.548,7.50,99.7,373.1,62.4,67.8,0.238,8.82,31.40,73.14,YES
cow,pothole_light,dawn,rainy,hyderabad_highway,6.27,0.573,3.40,765.5,251.4,138.0,165.6,0.336,3.73,28.50,56.26,YES
car,damaged_edge,evening_rush,dusty,mumbai_suburban,11.95,0.881,23.70,517.1,298.0,179.3,229.7,0.178,4.16,31.20,36.90,NO
bicycle,pothole_heavy,morning_rush,clear,delhi_inner,19.43,0.715,2.70,522.3,471.8,88.8,122.9,0.412,8.11,76.20,44.08,YES
autorickshaw,flooded,night,rainy,bangalore_tech,16.20,0.626,32.80,972.2,485.7,149.5,176.1,0.161,4.54,16.80,50.20,YES
cow,flooded,afternoon,clear,mumbai_suburban,1.00,0.618,5.30,26.4,309.9,143.0,189.4,0.382,8.14,76.00,73.75,YES
bicycle,smooth,evening_rush,clear,kolkata_old,7.83,0.778,6.40,307.3,310.7,57.3,45.9,0.365,0.52,86.50,16.94,NO
motorcycle,construction,evening_rush,clear,delhi_inner,2.37,0.893,24.20,146.7,566.1,71.8,80.3,0.341,6.89,84.20,38.16,NO
car,pothole_light,dawn,dusty,kolkata_old,10.46,0.837,36.10,39.0,516.5,177.3,164.6,0.635,5.26,34.00,38.67,NO
motorcycle,construction,night,foggy,mumbai_suburban,1.00,0.642,39.80,335.1,390.5,64.5,55.3,0.231,6.13,12.90,64.56,YES
autorickshaw,damaged_edge,evening_rush,foggy,delhi_inner,10.18,0.750,18.50,1164.1,210.9,102.3,114.5,0.155,3.61,24.10,42.78,YES
cow,damaged_edge,evening_rush,hazy,delhi_inner,4.51,0.624,0.00,299.6,412.7,171.5,214.0,0.297,4.84,51.50,58.26,YES
dog,pothole_heavy,dawn,clear,rural_highway,6.97,0.628,0.00,800.1,546.5,74.5,78.1,0.158,8.15,85.20,61.17,YES
car,flooded,afternoon,clear,rural_highway,8.70,0.913,21.20,131.6,205.7,167.5,201.3,0.356,6.64,75.20,36.63,NO
autorickshaw,pothole_light,morning_rush,clear,mumbai_suburban,13.08,0.845,10.30,690.8,423.3,132.2,144.7,0.415,2.23,75.70,23.68,NO
motorcycle,pothole_heavy,afternoon,hazy,hyderabad_highway,9.28,0.784,43.30,1198.8,467.0,62.3,66.2,0.216,7.45,53.30,50.46,YES
motorcycle,pothole_heavy,morning_rush,foggy,kolkata_old,14.49,0.729,18.70,355.0,373.5,63.6,61.9,0.364,4.30,14.00,42.81,YES
car,smooth,evening_rush,hazy,rural_highway,20.63,0.862,21.60,943.1,460.2,168.0,172.9,0.047,0.00,47.40,25.84,NO
motorcycle,smooth,evening_rush,clear,mumbai_suburban,13.49,0.762,25.20,1172.3,377.3,104.8,105.9,0.344,0.86,71.10,27.15,NO
bicycle,damaged_edge,evening_rush,clear,kolkata_old,9.55,0.784,6.70,714.4,498.7,66.2,78.6,0.304,6.15,78.50,38.60,NO
motorcycle,flooded,morning_rush,clear,delhi_inner,16.08,0.750,24.50,382.6,449.4,43.4,37.7,0.337,4.63,82.90,34.17,NO
autorickshaw,pothole_heavy,night,hazy,bangalore_tech,6.63,0.856,31.60,769.1,299.8,138.2,118.2,0.222,7.61,44.90,46.60,YES
pedestrian,damaged_edge,afternoon,dusty,rural_highway,4.35,0.878,0.00,1043.0,482.4,45.4,54.3,0.164,5.03,37.60,51.82,YES
motorcycle,pothole_heavy,evening_rush,rainy,kolkata_old,10.13,0.764,25.70,210.4,539.8,52.3,58.9,0.179,9.29,23.90,58.27,YES
bus,flooded,evening_rush,foggy,mumbai_suburban,31.91,0.882,16.10,468.2,453.7,245.2,259.5,0.550,7.83,15.90,47.94,YES
bus,flooded,afternoon,hazy,delhi_inner,24.84,0.772,36.60,326.3,310.3,257.8,229.8,0.118,6.18,47.40,46.83,YES
motorcycle,smooth,morning_rush,hazy,hyderabad_highway,9.14,0.971,18.20,338.3,227.7,86.1,90.1,0.351,0.00,48.50,18.14,NO
autorickshaw,damaged_edge,morning_rush,clear,kolkata_old,7.23,0.745,13.80,975.3,528.8,147.0,187.2,0.346,3.27,81.10,28.61,NO
motorcycle,pothole_light,night,dusty,mumbai_suburban,14.01,0.725,31.20,511.4,468.5,67.2,89.6,0.082,4.13,39.70,44.34,YES
motorcycle,smooth,dawn,foggy,rural_highway,13.38,0.663,47.50,406.7,598.9,80.7,98.6,0.317,2.49,11.70,41.44,YES
car,flooded,evening_rush,clear,delhi_inner,18.70,0.909,19.60,670.2,239.3,169.5,141.7,0.326,7.55,77.70,37.16,NO
truck,smooth,morning_rush,hazy,mumbai_suburban,18.46,0.784,20.20,237.6,296.9,196.9,236.7,0.178,0.21,54.10,24.61,NO
autorickshaw,pothole_light,evening_rush,hazy,rural_highway,9.87,0.786,16.20,263.6,252.8,133.3,125.9,0.120,4.36,51.40,35.26,NO
car,smooth,night,rainy,mumbai_suburban,9.43,0.650,32.00,568.7,480.0,186.9,184.9,0.142,0.00,33.20,28.39,NO
motorcycle,flooded,night,dusty,mumbai_suburban,11.30,0.614,34.50,489.4,589.7,84.3,77.3,0.186,5.57,34.20,43.41,YES
bicycle,pothole_light,morning_rush,rainy,kolkata_old,8.53,0.667,13.70,355.0,412.2,76.4,96.7,0.070,4.18,35.20,45.23,YES
motorcycle,pothole_heavy,morning_rush,hazy,hyderabad_highway,4.79,0.834,20.20,65.3,281.6,69.7,82.9,0.142,8.18,47.10,54.96,YES
car,damaged_edge,night,clear,delhi_inner,13.48,0.707,39.10,580.7,241.6,164.9,192.5,0.052,6.21,72.40,43.86,YES
autorickshaw,flooded,afternoon,clear,rural_highway,9.56,0.735,31.70,946.8,420.7,120.6,144.8,0.266,7.15,85.00,43.38,YES
e-rickshaw,pothole_heavy,afternoon,clear,hyderabad_highway,8.88,0.740,24.80,981.3,402.5,127.4,120.0,0.033,8.62,75.70,53.02,YES
motorcycle,pothole_heavy,morning_rush,clear,delhi_inner,12.30,0.976,29.00,276.8,484.1,104.1,111.1,0.117,6.80,83.80,35.64,NO
pedestrian,pothole_heavy,evening_rush,rainy,hyderabad_highway,7.20,0.766,4.70,730.4,336.4,61.9,73.1,0.467,6.85,21.90,59.62,YES
pedestrian,pothole_light,night,rainy,bangalore_tech,8.12,0.558,10.30,1052.4,385.2,50.4,59.6,0.140,2.93,38.00,56.36,YES
motorcycle,smooth,dawn,clear,bangalore_tech,9.68,0.798,41.90,488.8,208.8,84.0,107.2,0.029,0.28,78.60,19.57,NO
pedestrian,damaged_edge,evening_rush,foggy,hyderabad_highway,5.42,0.742,2.30,1146.4,487.5,50.2,48.8,0.436,2.57,14.50,46.74,YES
motorcycle,damaged_edge,evening_rush,clear,rural_highway,10.24,0.799,16.40,1097.5,385.5,64.6,81.6,0.091,4.99,76.60,34.43,NO
pedestrian,damaged_edge,morning_rush,clear,delhi_inner,8.01,0.854,2.40,255.9,629.0,50.4,53.6,0.429,6.69,78.30,45.00,YES
pedestrian,pothole_light,evening_rush,clear,bangalore_tech,1.71,0.813,6.90,323.7,510.6,30.0,36.0,0.267,4.80,80.00,50.67,YES
autorickshaw,flooded,afternoon,hazy,bangalore_tech,14.49,0.834,18.40,209.6,356.8,118.1,126.8,0.339,5.58,51.60,35.73,NO
car,smooth,evening_rush,clear,mumbai_suburban,12.40,0.861,23.00,210.8,263.2,204.5,280.1,0.501,0.00,80.40,15.05,NO
cow,construction,afternoon,hazy,mumbai_suburban,9.47,0.730,4.60,1023.8,545.6,152.3,138.3,0.185,7.97,34.10,66.79,YES
motorcycle,damaged_edge,morning_rush,hazy,delhi_inner,12.94,0.810,33.60,1130.3,207.2,66.2,79.7,0.280,5.37,38.90,45.17,YES
car,pothole_heavy,morning_rush,dusty,kolkata_old,17.08,0.822,19.20,57.1,303.0,178.9,205.0,0.016,7.70,48.80,44.84,YES
car,damaged_edge,afternoon,clear,bangalore_tech,13.84,1.000,39.80,660.4,547.8,167.5,151.3,0.036,4.29,80.70,27.98,NO
truck,pothole_light,morning_rush,clear,delhi_inner,19.46,0.741,18.00,598.6,419.8,219.1,183.9,0.357,4.09,84.80,27.41,NO
pedestrian,damaged_edge,morning_rush,clear,hyderabad_highway,11.95,0.756,0.00,474.3,432.3,65.6,84.0,0.199,4.64,78.50,44.12,YES
car,pothole_heavy,dawn,rainy,hyderabad_highway,16.04,0.811,29.50,688.7,271.3,189.8,169.8,0.276,8.94,25.00,57.39,YES
autorickshaw,pothole_heavy,evening_rush,clear,bangalore_tech,10.02,0.930,13.80,1063.6,513.8,157.3,143.4,0.116,9.49,77.60,46.70,YES
motorcycle,flooded,evening_rush,foggy,mumbai_suburban,5.97,0.829,24.90,201.3,278.5,97.9,135.8,0.347,4.36,20.60,42.81,YES
pedestrian,pothole_heavy,night,hazy,kolkata_old,1.96,0.829,2.60,147.7,312.9,53.1,65.3,0.515,6.53,42.70,61.52,YES
car,flooded,dawn,hazy,mumbai_suburban,16.76,0.860,39.30,36.4,265.1,190.2,180.7,0.238,7.62,54.60,46.57,YES
pedestrian,pothole_light,evening_rush,rainy,mumbai_suburban,8.31,0.890,0.00,448.6,273.7,47.0,54.2,0.280,4.20,26.90,50.65,YES
motorcycle,damaged_edge,night,clear,hyderabad_highway,15.26,0.702,44.20,410.9,628.3,63.1,70.7,0.048,3.64,74.70,34.48,NO
bicycle,damaged_edge,afternoon,clear,delhi_inner,13.19,0.809,17.60,512.9,442.6,89.6,117.1,0.134,6.18,84.00,38.28,NO
car,smooth,afternoon,clear,delhi_inner,20.66,0.891,26.00,546.0,377.6,195.1,241.5,0.207,0.41,84.70,10.86,NO
motorcycle,pothole_light,evening_rush,rainy,delhi_inner,7.77,0.733,25.40,912.1,601.6,76.4,99.2,0.246,6.64,30.10,49.16,YES
car,pothole_heavy,evening_rush,clear,delhi_inner,18.40,0.865,25.60,429.7,280.6,184.1,170.7,0.627,7.72,77.00,36.86,NO
bicycle,pothole_heavy,evening_rush,clear,delhi_inner,8.30,0.737,9.90,393.9,202.5,88.6,104.9,0.368,9.33,70.50,47.82,YES
dog,pothole_light,afternoon,dusty,rural_highway,8.20,0.637,11.90,990.0,470.6,82.7,68.2,0.349,2.26,41.10,49.74,YES
motorcycle,damaged_edge,morning_rush,clear,mumbai_suburban,5.28,0.842,30.30,1038.4,439.3,58.1,48.8,0.105,6.68,84.30,41.17,NO
